Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2006—,Non disponibile,Rear wheel,Non disponibile,Non disponibile,8 cylinders,Non disponibile,"6,761 cm³",Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"373 kW, 507 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1999-2001,Non disponibile,Rear wheel,Non disponibile,Non disponibile,8 cylinders,Non disponibile,"4,398 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"261 kW, 355 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Automatic transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
5 doors,Non disponibile,176 g/km,330 l,Non disponibile,Non disponibile,Non disponibile,"Seat belts, Rear: three-point, Seat belt tensioning system, Trunk lid remote control, Power windows front, Head restraints front and rear [5 pcs],, Braking system: Anti-lock braking system [ABS],, Headlight distance adjustment from inside, Electric, Speedometer, Rear wiper, Anti-lock braking system, Information system: On-board computer, Stability program: DSC (DSC), Upholstery: fabric,, Tyre pressure monitoring system,, T, electronic, Steering wheel: height/distance control, Remote central locking system, External thermometer, Exterior rear-view mirrors in body colour, Electrically adjustable exterior rear-view mirrors, Air conditioning [AC],, Airbag on driver and passenger side, Head and side airbags front,, Instrument panel inserts: silver, Non-smoking package, Spare brake light [third brake light], Radio tape recorder: BMW Business RDS,, Alarm system,, Transmission: 5-speed mechanical, Windshield: glued, Beautifying mirror on the driver and passenger side,, Power steering,, Tinted windows: light and thermal protection, Seats rear: folding and dividing, Seats: height-adjustable driver's seat, Emergency devices in body color, Lighting: white direction indicators, fog lights front, fog light [fog lamp] rear",11m,195/55 R16 87,10.8 seconds,2005-2007,Non disponibile,Rear wheel,Non disponibile,500 kg,4 cylinders,Soros,"1,596 cm³",4 227 mm,Non disponibile,Lower middle category,Hatchback,EURO 4,"1,430 mm",150 Nm,"85 kW, 116 HP","5,9 l/100km",Non disponibile,Non disponibile,1 205 kg,Manual (5-speed) transmission,5 persons,1.751 mm,2 660 mm,"7,5 l/100km","10,5 l/100km",200 km/h,1 705 kg,5 615 000 Ft,Gasoline,50 l
5 doors,Non disponibile,183 g/km,330 l,Non disponibile,Non disponibile,Non disponibile,"Seat belts, Rear: three-point, Seat belt tensioning system, Trunk lid remote control, Power windows front, Head restraints front and rear [5 pcs],, Braking system: Anti-lock braking system [ABS],, Headlight distance adjustment from inside, Electric, Speedometer, Rear wiper, Anti-lock braking system, Information system: On-board computer, Stability program: DSC (DSC), Upholstery: fabric,, Tyre pressure monitoring system,, T, electronic, Steering wheel: height/distance control, Remote central locking system, External thermometer, Exterior body colour rear-view mirrors, Electrically adjustable exterior rear-view mirrors,, Airbag on driver and passenger side, Head and side airbags front,, Instrument panel inserts: silver, Non-smoking package, Spare brake light [third brake light],, Alarm system, Speed, Transmission: 6-speed automatic with manual transmission, Windshield: glued, Beautifying mirror on driver and passenger side,, Power steering,, Tinted windows: light and thermal protection, Seats rear: folding and dividing, Seats: height-adjustable driver's seat, Emergency devices in body color, Lighting: white direction indicators, fog light [fog lamp] rear",11m,195/55 R16 87,10.1 seconds,2005-2007,Non disponibile,Rear wheel,Non disponibile,500 kg,4 cylinders,Soros,"1,995 cm³",4 227 mm,Non disponibile,Lower middle category,Hatchback,EURO 4,"1,430 mm",180 Nm,"95 kW, 129 HP",6.1 l/100km,Non disponibile,Non disponibile,1 260 kg,Automatic (6-speed tiptronic) transmission,5 persons,1.751 mm,2 660 mm,"7,8 l/100km",10.7 l/100km,204 km/h,1 760 kg,7 119 500 Ft,Gasoline,50 l
5 doors,Non disponibile,186 g/km,330 l,Non disponibile,Non disponibile,Non disponibile,"Seat belts, rear: three-point, Seat belt tensioning system, Tailgate remote control, Power windows front, Power windows rear, Head restraints front and rear [5 pcs],, Braking system: Anti-lock braking system [ABS],, Headlight distance adjustment from inside, Electric, Tachometer Rear wiper system, Anti-lock braking system, Information system: On-board computer, Stability program: DSC,, Tyre pressure monitoring system,, T, electronic, Steering wheel: height-adjustable, Remote central locking system, Exterior Thermometer, Exterior accessories polished, Exterior rear-view mirrors in body color, Electrically adjustable exterior rear-view mirrors,, Airbag on driver and passenger side, Head and side airbags front,, Non-smoking package, Spare brake light [third brake light],, Alarm system,, Transmission: 6-speed automatic with manual transmission, Windscreen: glued, Beautifying mirror on driver and passenger side,, Power steering,, Tinted windows: light and thermal protection, Seats rear: folding and dividing, Seats: height-adjustable driver's seat, Emergency devices in body color, Upholstery: fabric, fabric [special], Lighting: white direction indicators, fog light [fog lamp] rear",11m,195/55 R16 87,9.2 seconds,2004-2007,Non disponibile,Rear wheel,Non disponibile,500 kg,4 cylinders,Soros,"1,995 cm³",4 227 mm,Non disponibile,Lower middle category,Hatchback,EURO 4,"1,430 mm",200 Nm,"110 kW, 150 HP","6,2 l/100km",Non disponibile,Non disponibile,1 275 kg,Automatic (6-speed tiptronic) transmission,5 persons,1.751 mm,2 660 mm,"7,9 l/100km",11.0 l/100km,213 km/h,1 775 kg,7 662 500 Ft,Gasoline,50 l
5 doors,Non disponibile,147g/km,330 l,Non disponibile,Non disponibile,Non disponibile,"Seat belts, Rear: three-point, Seat belt tensioning system, Trunk lid remote control, Power windows front, Head restraints front and rear [5 pcs],, Braking system: Anti-lock braking system [ABS],, Headlight distance adjustment from inside, Electric, Speedometer, Rear wiper, Starter lock, Information system: On-board computer, Stability program: DSC (DSC),, Tyre pressure monitoring system,, T, electronic, Steering wheel: height and distance control, Remote central locking system, External thermometer, Exterior rearview mirror Mirrors in body colour, Electrically adjustable exterior rear-view mirrors,, Airbag on driver and passenger side, Head and side airbags front,, Instrument panel inserts: silver, Non-smoking package, Spare brake light [third brake light],, Alarm system,, Transmission: 6 degree mechanical, Windscreen: glued, Beautifying mirror on the driver and passenger side,, Power steering,, Tinted windows: light and thermal protection, Seats rear: folding and dividing, Seats: height-adjustable driver's seat, Emergency devices in body color, Upholstery: fabric, fabric [special], Lighting: white direction indicators, fog light [fog lamp] rear",11m,195/55 R16 87,10.0 s,2004-2007,Non disponibile,Rear wheel,Non disponibile,500 kg,4 cylinders,Soros,"1,995 cm³",4 227 mm,Non disponibile,Lower middle category,Hatchback,EURO 4,"1,430 mm",340 Nm,"90 kW, 122 HP","4,5 l/100km",Non disponibile,Non disponibile,"1,310 kg",Manual (6-speed) transmission,5 persons,1.751 mm,2 660 mm,5.6 l/100km,"7,7 l/100km",201 km/h,1 810 kg,6 449 000 Ft,Diesel,50 l
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1992-1993,Non disponibile,Front wheel,Non disponibile,Non disponibile,8 cylinders,VOLTS,"4,565 cm³",Non disponibile,Non disponibile,Non disponibile,Cabrio,Non disponibile,Non disponibile,Non disponibile,"220 kW, 299 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1992-1993,Non disponibile,Front wheel,Non disponibile,Non disponibile,8 cylinders,VOLTS,"4,565 cm³",Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"220 kW, 299 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1989-1992,Non disponibile,Rear wheel,Non disponibile,Non disponibile,8 cylinders,Non disponibile,4.467 cm³,Non disponibile,Non disponibile,Non disponibile,Cabrio,Non disponibile,Non disponibile,Non disponibile,"149 kW, 203 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Automatic transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,195 g/km,425 l,Non disponibile,Non disponibile,Non disponibile,"Audio system with 7 speakers, Seat belt rear, center: three-point,, Belt tensioning system: pyrotechnic,, Puncture indicator, Power windows front and rear, Head restraints front and rear [4 pcs],, Braking system: Anti-lock braking system [ABS],, Tachometer, Ignition block Steering, Information system: On-board computer, Armrest front and rear,, Anti-Slip Regulation (ASR),, Alloy wheels: 16', Locking system with remote control, External temperature sensor, Exterior mirrors electrically operated, Heated knife adjustable, Air-conditioning equipment [AC],, Driver and passenger airbag, Side airbags front,,, Airbag, head airbags front,, Reading lights front and rear, Cup holder rear, Radio CD with MP3 player, Cruise control [cruise control], Transmission: 6-speed manual, Illuminated beauty mirror,, Servo Steering wheel: speed-dependent,, Tinted windows, Seat rear: fold-down and divisional, Lighting: exit light, Steering wheel: leather, multifunction, height-adjustable",Non disponibile,215/55 R16,Non disponibile,2007-2009,Non disponibile,Front wheel,Non disponibile,530 kg,4 cylinders,Soros,"1,998 cm³",4 679 mm,Non disponibile,Mid-range,Sedan,EURO 4,1.433mm,265 Nm,"130 kW, 177 hp","6,4 l/100km",Non disponibile,Non disponibile,1 460 kg,Manual (6-speed) transmission,5 persons,1.753 mm,2 675 mm,"8,3 l/100km",11.5l/100km,Non disponibile,1 990 kg,8 186 500 Ft,Gasoline,58 l
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1999—,Non disponibile,Front wheel,Non disponibile,Non disponibile,6 cylinders,VOLTS,"3,350 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,278 Nm,"130 kW, 177 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Automatic (4-speed) transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1985-1989,Non disponibile,Rear wheel,Non disponibile,Non disponibile,6 cylinders,VOLTS,"4,296 cm³",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"119 kW, 162 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1992-1994,Non disponibile,Rear wheel,Non disponibile,Non disponibile,6 cylinders,VOLTS,"4,296 cm³",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"112 kW, 152 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1989-1994,Non disponibile,Rear wheel,Non disponibile,Non disponibile,6 cylinders,VOLTS,"4,296 cm³",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"119 kW, 162 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,261 g/km,504 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Interior rearview mirror, Auto darkening, Seat belts, Rear: three-point, Luggage net, Smoking package, Power windows front, Power windows front, Power windows front and rear,, Rain sensor wiper, Auto headlights,, Headrests front to rear [5 pcs], Brake system: anti-lock braking system [ABS],, Headlight distance adjustment from inside, electric, Headlight washer with high-pressure nozzles,, Chassis design: rear air suspension with automatic level control, Chassis control: electronic, Child seat Preparation [ISOFIX], Speakers [6 pcs], Starter lock, Information system: On-board computer, Upholstery: fabric, Rear armrest with beverage holder, Steering wheel: height-adjustable, Alloy wheels: 18', Remote central locking, External thermometer, Exterior rearview auto-darkening mirror [left], Exterior rear-view mirrors electrically foldable, Exterior rear-view mirrors with memory, Exterior rear-view mirrors: heated, Air conditioning [ACC] automatic,, Airbag on driver and passenger side,,, Airbag, side [front] 2pcs.,, Microfilter [dust and pollen filter],, Reading lights front and rear, Spare brake light [third brake light], Spare wheel: emergency wheel, Radio-CD player, Radio-CD with MP3 player, Radio antenna: integrated in rear windshield, Radio control on steering wheel en,, Alarm system,, Cruise control [cruise control], Transmission: 4-speed automatic, Illuminated beauty mirror, Tinted windows, Ultrasonic parking control system rear,, Seats: driver's seat memory,, Towing hook, Removable towbar, Seats rear: tiltable, divisional, Seats: lumbar support adjustable front, electrically adjustable passenger seat, electrically adjustable driver's seat, Illumination: automatic headlight, exit light, fog lamps front, rear fog lamp, xenon headlights",12 m,225/60 R18,6.8 seconds,2004-2006,Non disponibile,Rear wheel,Non disponibile,343 kg,6 cylinders,VOLTS,3.518 cm³,4 999 mm,Non disponibile,Upper-middle class,Sedan,Non disponibile,1 475 mm,340 Nm,"183 kW, 249 hp","8,2 l/100km",Non disponibile,Non disponibile,1 824 kg,Automatic (4-speed) transmission,5 persons,1.881mm,3 048 mm,"11,1 l/100km",15.9 l/100km,204 km/h,2 167 kg,12 500 000 HUF,Gasoline,68 l
4 doors,Non disponibile,329 g/km,504 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Interior rearview mirror, Auto darkening, Seat belts, Rear: 3-point, CD changer, Luggage net, Smoking package, Power windows front and rear,, Rain sensor wiper, Auto headlights,,, ASR [anti-traction],, Headrests front rear [5 pcs],, Brake system: anti-lock braking system [ABS],, Headlight distance adjustment from inside, electric,, Headlight washer with high-pressure nozzles,, Chassis design: rear air suspension with automatic level control, Chassis control: electronic, Child seat Preparation [ISOFIX], Speakers [6 pcs], Ignition lock, Information system: On-board computer, Upholstery: leather, Rear armrest with drink holder,, Tyre pressure monitoring system,, Leather gear lever, Steering wheel: height and distance control, Electric, Alloy wheels: 20', Centre Remote control lock, Keyless system, External temperature sensor, Exterior rearview mirror automatically darkening [left], Exterior rear-view mirrors electrically folded, Exterior rear-view mirrors with memory, Exterior rear-view mirrors: heated, Foot mat set, Air conditioning [ACC] automatic,, Airbag on driver's and passenger's side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Reading lamps front-rear, Pedals: electrically adjustable, Spare brake light [third brake light]], Spare wheel: tire repair kit instead of a spare wheel, Radio CD with MP3 player, Radio antenna: integrated in the rear windshield, Radio control on the steering wheel,, Alarm device,, Cruise control [cruise control], Transmission: 5-speed automatic, Beautician mirror with illumination, Tinted windows, Ultrasonic parking control system rear,, Seats: driver's seat memory,, Emergency devices and exterior mirrors in body colour, Seats rear: tiltable, divisible, Seats: front lumbar support, Electrically adjustable passenger seat, Electrically adjustable driver's seat, Lighting: automatic headlight switch-on, exit light, fog lamps front, fog lamp [fog lamp] rear, xenon headlights",12 m,245/45 R20,5.3 seconds,2006-2007,Non disponibile,Rear wheel,Non disponibile,345 kg,8 cylinders,VOLTS,"6,063 cm³",5 015 mm,Non disponibile,Upper-middle class,Sedan,EURO 4,1 462 mm,569 Nm,"317 kW, 431 hp","9,9 l/100km",Non disponibile,Non disponibile,1 995 kg,Automatic (5-speed) transmission,5 persons,1 880 mm,3 050 mm,14.0 l/100km,21.0 l/100km,265 km/h,"2,340 kg",18 500 000 HUF,Gasoline,72 l
5 doors,Non disponibile,266 g/km,630 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Interior rearview mirror, auto-darkening, Seat belts, Rear: three-point, Luggage net, Smoking package, Power windows front to rear,, Rain sensor wiper, Automatic headlights,, Headrests front-rear [5 pcs],, Braking system: Anti-lock braking brake system [ABS],, Headlight spacing from inside, electric,, Headlight washer with high-pressure nozzles,, Chassis design: rear air suspension with automatic level control, Chassis control: electronic, Child seat preparation [ISOFIX], Speakers [6 pcs] , Starter lock, Information system: On-board computer, Upholstery: fabric, Rear armrest with beverage holder, Steering wheel: height-adjustable, Alloy wheels: 18', Remote central locking, Exterior temperature sensor, Exterior rearview mirror automatically dimming [left], Exterior rear view mirror electric folding mirrors, Exterior rear-view mirrors with memory, Exterior rear-view mirrors: heated, Air conditioning [ACC] automatic,, Airbag on driver and passenger side,,, Airbag, side [front] 2pcs.,,, Microfilter [dust-and] pollen filter],, Reading lights front and rear, Spare brake light [third brake light], Spare wheel: emergency wheel, Radio CD player, Radio antenna: integrated in rear windshield, Radio control on steering wheel,, Alarm system,, Cruise control [cruise control], Gear shift: 4 Automatic, Illuminated beauty mirror, Tinted windows, Ultrasonic parking control system rear,, Seats: memory on the driver's side,, Towing hook, Removable towbar, Seats rear: tiltable, Divisional, Seats: lumbar support adjustment front, Electrically adjustable passenger seat, electrically adjustable driver's seat, Lighting: automatic headlight activation, exit light, fog lights front, fog light [fog lamp] rear, xenon headlights",12 m,225/60 R18,9.2 seconds,2005-2006,Non disponibile,Rear wheel,Non disponibile,353 kg,6 cylinders,VOLTS,3.518 cm³,4 999 mm,Non disponibile,Upper-middle class,Combi,Non disponibile,1 481 mm,340 Nm,"183 kW, 249 hp","8,4 l/100km",Non disponibile,Non disponibile,1.882 kg,Automatic (4-speed) transmission,5 persons,1.881mm,3 048 mm,11.3 l/100km,16.3 l/100km,204 km/h,2 235 kg,13 100 000 HUF,Gasoline,68 l
